Price for 2,Dining Rating,Dining Rating Count,Location,Cuisine
500,3.9,447,Perambur,"North Indian,  Chinese,  Biryani"
1400,4.7,920,Kotturpuram,"Burmese,  Thai,  Vietnamese,  Indonesian,  Singaporean,  Japanese,  Malaysian"
1400,4.4,9410,Velachery,"North Indian,  Chinese"
1000,4.2,763,Perungudi,"Chinese,  Thai,  Indonesian,  Malaysian,  Vietnamese,  Singaporean,  Asian,  Momos"
450,4,741,Ambattur,"North Indian,  Chinese"
350,4.5,609,Thousand Lights,"Beverages,  Fast Food,  Healthy Food,  Juices"
1200,4.7,979,Nungambakkam,"Kerala,  South Indian"
1800,4.2,954,Besant Nagar,"Continental,  Chinese,  North Indian"
900,4.3,1464,Alwarpet,"Cafe,  Continental,  Italian"
800,4.4,794,Anna Nagar West,"Continental,  Seafood,  Biryani,  Italian,  North Indian,  Asian,  Kebab"
600,4.2,816,Vadapalani,"Chettinad,  South Indian,  Chinese"
500,4,780,Potheri,"North Indian,  Chinese,  Biryani,  Rolls"
500,4.1,222,Purasavakkam,"South Indian,  Chettinad"
500,4.4,697,Anna Nagar West,"Healthy Food,  Fast Food"
900,4.3,2994,Velachery,"North Indian,  Chinese,  Fast Food"
1800,4.6,1498,Velachery,"Chinese,  Asian,  Sushi,  Japanese,  Thai"
600,4,670,Velachery,"North Indian,  Chinese,  Kerala"
200,4.1,611,Egmore,"Fast Food,  Beverages,  Sandwich"
800,4.9,2109,Kanathur,North Indian
350,,Does not offer Dining,Nungambakkam,"North Indian,  Chinese,  Rolls,  Continental,  Biryani"
200,,Does not offer Dining,Anna Nagar West,Chinese
100,4.7,904,Mylapore,South Indian
450,4.1,516,Royapettah,"Chettinad,  Chinese,  Seafood,  Hyderabadi"
1000,4.5,1611,Nungambakkam,"North Indian,  South Indian,  Chinese,  Asian,  Fast Food,  Desserts,  Beverages"
700,4.5,1258,Nungambakkam,"Cafe,  Continental,  Italian,  Desserts,  Beverages"
900,2.9,374,Egmore,"Seafood,  Mediterranean,  North Indian,  Chinese,  Arabian"
800,4.1,509,Washermenpet,"Biryani,  Mughlai,  North Indian,  Chinese,  Chettinad"
300,,Does not offer Dining,Royapettah,"Biryani,  North Indian"
450,4.5,705,Egmore,"Chinese,  Konkan,  Momos"
1000,4.6,764,Anna Nagar East,"Arabian,  Mughlai,  North Indian,  Biryani"
1000,4.4,1485,Besant Nagar,"Continental,  European,  Italian"
1600,4.3,602,Porur,"North Indian,  Continental,  Kebab,  BBQ"
350,4,323,Besant Nagar,"North Indian,  Chinese,  Biryani,  Arabian"
650,4.1,459,Selaiyur,"North Indian,  Chinese,  Fast Food,  Desserts"
450,4.3,721,Anna Nagar East,"Ice Cream,  Desserts,  Fast Food"
600,2.9,447,Nungambakkam,"Pizza,  Fast Food,  Finger Food,  American"
400,3.9,653,Kilpauk,"South Indian,  Chinese,  Street Food,  Beverages"
500,4.3,682,Egmore,North Indian
1400,4.4,2390,Old Mahabalipuram Road (OMR),"North Indian,  Street Food,  Desserts,  BBQ"
800,4.3,652,Anna Nagar East,"North Indian,  Chinese,  Biryani"
2500,4.3,704,Velachery,"North Indian,  South Indian,  Continental,  European"
2700,4.2,825,Nungambakkam,"Biryani,  North Indian"
700,4.1,429,Choolaimedu,"Biryani,  Chinese,  North Indian,  Juices"
1000,4.4,593,Porur,"Chinese,  Momos"
500,4.3,529,T. Nagar,South Indian
500,4.2,589,Mylapore,"North Indian,  South Indian,  Chinese"
1000,4.3,2430,Adyar,"Italian,  Mediterranean,  Thai,  Seafood,  Salad,  Momos,  Beverages"
1000,4.1,1101,Nungambakkam,"Cafe,  Fast Food"
500,3.9,849,T. Nagar,"South Indian,  Biryani"
300,,Does not offer Dining,Abhiramapuram,"Bakery,  Desserts"
900,4.3,866,Anna Nagar East,"Italian,  American,  Fast Food"
100,,Does not offer Dining,Triplicane,Street Food
800,4.4,1047,Alwarpet,"Pizza,  Fast Food,  Beverages"
1100,4.2,607,Poonamalle,Rajasthani
1600,4.4,1307,RA Puram,"North Indian,  Italian,  Fast Food,  Chinese,  Beverages"
750,4.3,696,Alwarpet,Kerala
1000,4.1,769,Alwarpet,"Cafe,  Fast Food"
650,4.1,1218,Anna Nagar East,"Cafe,  Bakery"
350,4.2,443,Nungambakkam,"Ice Cream,  Desserts,  Fast Food"
300,4.2,437,Gopalapuram,"Rolls,  North Indian"
400,4,354,Royapuram,"Burmese,  Fast Food"
1400,4.4,1917,Royapettah,"Cafe,  Italian,  Continental"
1500,4.2,2277,Mylapore,"Continental,  Chinese,  North Indian,  Thai,  Mangalorean,  Desserts"
800,4.2,1534,Adyar,"North Indian,  Asian,  Continental,  Mughlai"
2000,4.4,1510,East Coast Road (ECR),"Continental,  North Indian,  Italian,  Pizza,  Kebab"
1200,4.3,607,Kandanchavadi,"Italian,  Continental,  Chinese,  North Indian"
800,4.3,542,Gopalapuram,"Mughlai,  North Indian,  Seafood,  Biryani"
200,4.5,1038,Triplicane,"South Indian,  Biryani"
300,4.9,584,West Mambalam,"Sandwich,  Fast Food,  Beverages"
1700,4.6,1132,Nungambakkam,"North Indian,  Desserts,  Beverages"
600,4,954,T. Nagar,Gujarati
450,4.5,1009,Besant Nagar,"Burger,  Fast Food,  Beverages"
750,4.2,346,Anna Nagar East,"Burger,  Pizza,  Fast Food,  Beverages"
400,4.2,888,T. Nagar,"South Indian,  Biryani,  Chettinad"
1500,4,377,Palavakkam,"Continental,  North Indian,  Chinese,  Kerala,  Spanish"
700,4.2,889,Velachery,"Cafe,  Sandwich"
350,4.8,1658,Choolaimedu,"Momos,  Chinese"
800,4,256,Egmore,"Bakery,  Desserts,  Italian,  Continental,  Beverages"
1200,4.3,906,Gopalapuram,"North Indian,  Arabian,  Biryani,  Mughlai"
800,3.9,917,Ashok Nagar,"Continental,  North Indian,  Steak,  Thai,  Italian,  Asian"
650,4.2,847,Besant Nagar,"Fast Food,  Chinese,  North Indian,  Beverages"
600,4.2,1044,Adyar,"Thai,  Chinese,  Continental,  North Indian"
750,4.2,920,Besant Nagar,"North Indian,  Continental,  Italian"
