Price for 2,Dining Rating,Dining Rating Count,Location,Cuisine
800,3.9,118,Velachery,"Italian,  Cafe"
400,4.3,197,Ashok Nagar,"BBQ,  Fast Food,  Beverages"
450,,Does not offer Dining,Velachery,Chinese
500,4.1,293,Navallur,"Andhra,  South Indian,  Chinese"
250,3.8,147,Akkarai,"Andhra,  Kerala"
600,3.9,259,Mogappair,"Biryani,  South Indian,  Chettinad,  North Indian,  Chinese"
450,3.8,168,Nanganallur,"North Indian,  Chinese,  Street Food"
700,3.7,251,Velachery,"Arabian,  Fast Food,  Lebanese"
350,3.2,234,Ramapuram,Bengali
450,3.5,280,Navallur,"Chinese,  Biryani,  North Indian"
2200,3.8,112,"WelcomHotel, RK Salai (Cathedral Road)","South Indian,  Chinese,  Continental,  North Indian"
300,4,218,Royapettah,"North Indian,  Chinese"
800,4.1,200,Velachery,"North Indian,  Chinese,  Thai,  Pizza"
2500,4.2,267,"Taj Coromandel, Nungambakkam",Finger Food
1000,3.9,131,Anna Nagar East,"North Indian,  South Indian"
200,3.5,84,Thuraipakkam,Andhra
300,,Does not offer Dining,"OMR Food Street, Navallur",Fast Food
200,3.8,169,Alwarpet,"Ice Cream,  Desserts,  Beverages"
500,3.8,272,"Mahindra World City, Chengalpattu","South Indian,  North Indian,  Chinese"
600,3.9,261,Potheri,"Italian,  Cafe"
5000,4.1,271,"Taj Club House, Thousand Lights",Finger Food
400,3.5,297,Medavakkam,"Biryani,  North Indian,  Chinese"
1200,4,79,"Novotel Chennai, Nandanam","Continental,  Italian,  North Indian,  Kerala,  Beverages"
550,3.2,286,Pallikaranai,"Biryani,  North Indian,  Chinese,  Seafood"
700,3.4,247,Anna Nagar West,"North Indian,  Seafood"
400,3.7,270,Kolathur,"North Indian,  Chinese"
1000,3.9,111,Mylapore,"South Indian,  Beverages,  Desserts"
1000,3.4,94,"Mahindra World City, Chengalpattu","North Indian,  Italian,  Chinese,  Continental,  Fast Food"
450,4.1,272,Adambakkam,"North Indian,  Chinese,  Chettinad"
800,3.8,199,Anna Nagar West,"North Indian,  Chinese,  Biryani,  Chettinad,  Seafood,  Lebanese"
600,3.6,285,Nanganallur,"South Indian,  Chinese,  Seafood,  Biryani,  North Indian"
3800,4.2,105,"Taj Coromandel, Nungambakkam",Italian
300,3.7,197,Perungudi,North Indian
600,3,94,Royapettah,"Cafe,  Desserts"
400,3.1,167,Anna Nagar East,"Bakery,  Desserts"
400,,Does not offer Dining,Kottivakkam,Chinese
650,3.8,135,Perungudi,Cafe
600,4,135,"Forum Vijaya Mall, Vadapalani","Chinese,  North Indian,  South Indian,  Continental"
200,,Does not offer Dining,Selaiyur,"Chinese,  Momos"
400,4.2,173,Karapakkam,"North Indian,  Street Food"
300,,Does not offer Dining,Kilpauk,"Bakery,  Desserts"
800,2.1,198,Muttukadu,"North Indian,  Seafood,  South Indian,  Chinese"
700,2.9,202,Injambakkam,"North Indian,  Kerala,  Chinese"
600,4.2,252,Saidapet,"Chinese,  South Indian,  North Indian,  Biryani"
500,3.9,279,Mogappair,"Arabian,  Biryani,  Chettinad"
3000,4.1,185,"The Leela Palace, MRC Nagar","South Indian,  North Indian"
1800,4,135,Alwarpet,Korean
450,3.5,277,Thuraipakkam,"North Indian,  Chinese,  South Indian"
700,3.9,243,Thuraipakkam,"Biryani,  North Indian,  Chinese"
350,,Does not offer Dining,Sholinganallur,"Biryani,  Fast Food"
500,3.7,211,"Hotel Vassi Palaze, Kanchipuram District","South Indian,  North Indian,  Chinese"
350,3.9,238,Ramapuram,"Chinese,  Chettinad,  North Indian"
400,,Does not offer Dining,Porur,"Italian,  Pizza"
600,2.8,118,Anna Nagar East,"Cafe,  Desserts,  Italian,  North Indian,  Thai"
400,,Does not offer Dining,Nungambakkam,"Italian,  Pizza,  Fast Food"
600,3.8,221,Adyar,"Kerala,  Biryani,  Arabian,  North Indian,  BBQ,  Chinese"
500,3.8,165,Selaiyur,"Italian,  Fast Food"
250,3.8,211,Besant Nagar,"South Indian,  Chinese"
400,3.6,180,Ramapuram,"Biryani,  Chinese,  North Indian"
500,2.9,206,Gopalapuram,"Chinese,  Seafood"
600,3.8,209,T. Nagar,North Indian
300,4.1,166,Besant Nagar,"Seafood,  Continental,  South Indian,  Asian"
1600,3.6,119,V7 Hotel,"North Indian,  Chinese,  Italian"
300,3.8,146,GST Road,"South Indian,  North Indian,  Chinese"
800,3.7,193,Navallur,"Biryani,  North Indian,  BBQ,  South Indian"
450,3.8,204,Madipakkam,"South Indian,  North Indian,  Beverages"
250,,Does not offer Dining,Purasavakkam,Beverages
500,3.8,185,"OMR Food Street, Navallur","Biryani,  Andhra,  North Indian,  Chinese"
1500,3.8,168,Turyaa Chennai ,"Continental,  North Indian,  Italian,  South Indian,  Chinese,  Sri Lankan,  Biryani,  Burger"
550,,Does not offer Dining,Kodambakkam,"Chinese,  South Indian,  Arabian"
1650,3.8,243,"Dash@OMR, Old Mahabalipuram Road (OMR)",Finger Food
500,3.2,249,Potheri,"Chettinad,  North Indian,  Chinese,  Biryani"
600,4.2,180,Ekkaduthangal,"Desserts,  Ice Cream,  Beverages"
400,3.8,236,Medavakkam,"Biryani,  North Indian,  Chinese"
450,3.4,202,Ramapuram,"Chinese,  North Indian"
500,3.8,198,Karapakkam,"Bakery,  Ice Cream,  Fast Food"
300,3.9,217,Kolathur,"Biryani,  North Indian,  Chinese"
800,3.9,143,Gopalapuram,"North Indian,  Street Food,  Chinese,  Fast Food"
650,,Does not offer Dining,T. Nagar,"Italian,  Pizza,  Fast Food"
200,4,145,Besant Nagar,"Ice Cream,  Desserts"
1000,3.6,166,Ramapuram,"Biryani,  North Indian,  Arabian,  BBQ,  Chinese,  Beverages"
400,,Does not offer Dining,Anna Nagar East,"Bakery,  Desserts"
300,4.1,182,Perambur,"Desserts,  Beverages"
1700,3.7,105,Thuraipakkam,Italian
400,,Does not offer Dining,T. Nagar,Biryani
900,3.7,118,Besant Nagar,"Fast Food,  Beverages"
350,4,161,Madipakkam,"South Indian,  North Indian,  Chinese"
300,4.3,241,Royapettah,"Street Food,  Beverages"
300,4.1,217,Mylapore,South Indian
1000,4.1,139,Alwarpet,Japanese
3000,3.6,255,"Crowne Plaza Chennai Adyar Park, Alwarpet","North Indian,  Chinese"
700,3.9,132,Besant Nagar,"American,  Continental,  European,  Italian"
400,4,230,Ramapuram,"Sandwich,  Fast Food,  Beverages"
700,4.1,128,Anna Nagar East,"Cafe,  Italian"
250,3.9,197,Sholinganallur,Biryani
700,4,110,Anna Nagar East,"Biryani,  North Indian,  Mughlai,  Chinese,  BBQ"
150,4.2,190,Mylapore,Beverages
500,4.1,192,Anna Nagar West,"North Indian,  Seafood,  Chinese"
500,3.6,210,Royapettah,"North Indian,  Kerala,  Chettinad,  South Indian"
550,4,176,Anna Nagar East,"Rolls,  North Indian,  Kebab,  Mughlai"
500,3.5,109,Ambattur,"Biryani,  North Indian,  Chinese,  South Indian"
550,3.7,205,Kotturpuram,"North Indian,  Chinese,  Continental,  Seafood,  Desserts"
100,4.2,188,Perungudi,Street Food
600,4,156,Besant Nagar,"Bakery,  Desserts,  Fast Food,  Beverages"
500,3.7,209,Tambaram,"North Indian,  Biryani"
400,4,229,Vandalur,"North Indian,  Chinese,  Chettinad"
500,2.7,187,Navallur,"South Indian,  North Indian,  Mithai"
350,3.9,184,T. Nagar,"Chinese,  Desserts,  North Indian"
300,3.5,184,T. Nagar,"Biryani,  Chinese,  South Indian,  North Indian"
800,3.9,179,Chromepet,"South Indian,  Chettinad,  Seafood"
350,3.5,228,Ambattur,"Burger,  Fast Food"
1200,4,113,Besant Nagar,"Cafe,  North Indian,  Biryani,  Momos,  Street Food,  Healthy Food"
500,3.9,254,Perambur,"North Indian,  South Indian,  Biryani"
350,3.9,180,Kodambakkam,"Sandwich,  Fast Food"
300,4,165,Besant Nagar,"Desserts,  Beverages,  Pizza"
350,3.7,141,Ekkaduthangal,"Italian,  Fast Food,  Chinese"
1100,3.8,198,Mylapore,"North Indian,  Mughlai"
1500,4,105,"Days Hotel, Old Mahabalipuram Road (OMR)","Continental,  North Indian,  Asian"
500,,Does not offer Dining,Karapakkam,"Chinese,  North Indian,  Chettinad,  Rolls"
450,3.4,174,Aminijikarai,"South Indian,  North Indian,  Chinese,  Beverages"
500,4,197,T. Nagar,"Chinese,  North Indian,  Rolls"
600,3.4,210,Velachery,"North Indian,  Chinese,  Chettinad"
500,3.3,64,Egmore,"Fast Food,  Italian,  Beverages"
800,3.7,102,Mogappair,"Sri Lankan,  North Indian"
250,4.1,190,Thiruvanmiyur,"Tibetan,  Chinese,  Momos"
700,3.3,210,Nungambakkam,"Fast Food,  Chinese,  Beverages"
400,3.8,225,Perungudi,"Mughlai,  Chinese,  North Indian"
350,3.8,213,Maduravoyal,"Chinese,  Seafood"
400,4.1,199,T. Nagar,"Beverages,  Juices"
400,3.8,248,Sholinganallur,"Arabian,  Biryani,  North Indian,  Chinese"
200,,Does not offer Dining,Besant Nagar,"Bakery,  Desserts"
200,3.8,197,Triplicane,"Seafood,  South Indian"
300,3.3,90,T. Nagar,"Biryani,  South Indian,  North Indian,  Chinese"
500,3.9,213,Park Town,"Chinese,  North Indian"
700,3.8,196,Tambaram,"Biryani,  Chinese,  North Indian,  Seafood,  Mughlai"
600,3.7,243,Potheri,"North Indian,  Chinese,  Biryani,  Momos"
1100,4.1,116,"IBIS Chennai, OMR","Tibetan,  Mexican,  North Indian,  Chinese,  Beverages"
300,3.8,234,Koyambedu,"Biryani,  South Indian"
650,3.7,194,Potheri,"Chinese,  Momos,  Fast Food"
300,3.9,203,GST Road,"Chettinad,  Fast Food"
200,4,174,Vepery,"Biryani,  Fast Food"
400,3.8,239,Tambaram,Biryani
4000,4,76,"Crowne Plaza Chennai Adyar Park, Alwarpet","Continental,  European"
500,4,170,Besant Nagar,"Kebab,  Chinese,  North Indian"
450,3.9,120,Egmore,"South Indian,  Chinese,  North Indian,  Street Food,  Fast Food,  Beverages"
400,3.6,212,Ramapuram,"North Indian,  Chinese,  Biryani"
3200,4.1,212,"Hyatt Regency, Teynampet",Finger Food
300,3.8,245,Ambattur,BBQ
500,3.5,195,Pallikaranai,"North Indian,  Chinese,  South Indian"
350,3.9,159,Pallavaram,"Biryani,  North Indian,  Chinese"
350,3.9,123,Mylapore,"Bakery,  Fast Food,  Sandwich,  Ice Cream,  Pizza"
450,3.6,182,George Town,"Chinese,  Biryani,  South Indian"
500,2.7,204,Choolaimedu,"South Indian,  Biryani"
350,3.6,101,Royapettah,"Bakery,  Cafe"
600,2.9,115,Nungambakkam,"Pizza,  Italian,  Fast Food"
550,3.6,167,Ambattur,"North Indian,  BBQ"
300,3.8,132,Alwarpet,"Mithai,  Street Food,  North Indian,  Fast Food"
500,4.1,112,Alwarpet,"Bakery,  Coffee"
550,3.6,162,Arumbakkam,"Seafood,  North Indian,  Chinese,  South Indian"
1550,3.7,187,Muttukadu,"Continental,  South Indian"
550,3.8,232,Taramani,"Biryani,  North Indian,  Chinese,  South Indian,  Sandwich,  Rolls,  Desserts,  Beverages"
400,3.9,221,Anna Nagar East,"Biryani,  Fast Food"
500,3.9,131,Selaiyur,"Pizza,  Fast Food,  Bakery,  Beverages"
700,3.6,205,Selaiyur,"North Indian,  Chinese"
500,3.8,174,Ambattur,"North Indian,  Chinese,  Arabian,  Biryani"
1600,3.8,81,Adyar,"Mexican,  Italian,  North Indian"
600,3.8,204,Perungudi,"Chinese,  North Indian,  Chettinad"
300,3.8,148,Anna Nagar East,"Bakery,  Desserts"
500,3.3,51,"Ispahani Centre, Nungambakkam","North Indian,  Fast Food"
650,3.9,187,Chromepet,"South Indian,  North Indian,  Chinese"
1500,4.2,147,Nungambakkam,Japanese
800,4,130,T. Nagar,"North Indian,  Chinese,  Mughlai,  Beverages"
550,2.5,194,Thiruvanmiyur,"North Indian,  Biryani,  Chinese,  Seafood,  Mughlai"
350,3.9,89,Adyar,"Bakery,  Desserts,  Fast Food,  Sandwich"
600,3.6,225,Ramapuram,"North Indian,  Chinese,  Continental"
2500,3.8,98,"The Accord Metropolitan, T. Nagar","North Indian,  Chinese,  Continental"
400,3.8,190,Tambaram,"Chettinad,  Chinese,  North Indian,  South Indian"
550,3.6,230,Porur,"Biryani,  Chinese,  Seafood"
800,4,123,K.K. Nagar,"Cafe,  Fast Food"
800,3.6,130,Triplicane,"Biryani,  North Indian,  Chinese,  South Indian,  Mughlai,  Seafood,  Beverages"
500,3.8,142,Anna Nagar East,"Italian,  Fast Food"
250,3.7,105,Ambattur,"Biryani,  Chinese"
400,,Does not offer Dining,Velachery,"Biryani,  South Indian"
1500,4,148,"Ambassador Pallava, Egmore","Chinese,  North Indian,  Continental,  South Indian"
400,4,107,Perungudi,North Indian
600,3.4,199,Chromepet,"Biryani,  Chinese,  South Indian,  Chettinad,  Andhra"
1200,4,188,Kilpauk,"BBQ,  North Indian,  Mithai"
2500,4.1,124,"Taj Club House, Thousand Lights",North Indian
450,3.8,218,Pallikaranai,"North Indian,  Chinese,  Biryani"
350,3.7,161,Ambattur,"South Indian,  Chinese,  North Indian,  Beverages"
300,3.8,90,Kodambakkam,"Lebanese,  Fast Food"
500,4,124,Nungambakkam,"South Indian,  Seafood"
400,3.9,180,Ambattur,"Bakery,  Desserts,  Fast Food"
150,3.7,203,Sholinganallur,"Kerala,  South Indian"
800,2.3,148,Mahabalipuram,"North Indian,  South Indian,  Chinese"
150,3.7,133,Madipakkam,"Ice Cream,  Desserts,  Fast Food"
500,4,199,Selaiyur,"South Indian,  North Indian,  Chinese"
400,3.9,152,Velachery,Kerala
500,2.9,184,Thiruvanmiyur,"Burger,  Italian,  Fast Food,  Chinese,  Beverages"
1200,3.8,131,Nungambakkam,"Continental,  Italian,  Chinese,  North Indian,  Beverages"
300,4,184,Velachery,Desserts
400,3.7,158,Kolathur,"South Indian,  Chinese,  North Indian,  Biryani,  Fast Food"
500,,Does not offer Dining,Purasavakkam,"Biryani,  Chettinad,  South Indian"
700,4.1,210,Avadi,"North Indian,  Mughlai,  South Indian,  Chinese"
600,3.9,149,Maduravoyal,"North Indian,  Chinese"
150,3.8,40,Anna Nagar West,"Sandwich,  Fast Food,  Beverages"
300,3.9,156,Anna Nagar East,Chinese
800,3.5,124,Gopalapuram,"Mexican,  Spanish,  Fast Food"
500,3,157,Ramapuram,"Pizza,  Burger,  Fast Food"
550,4.2,155,George Town,"North Indian,  Mughlai,  Chinese"
250,4.1,166,Pallavaram,Fast Food
400,,Does not offer Dining,Thuraipakkam,"Andhra,  Biryani"
700,,Does not offer Dining,RA Puram,"North Indian,  Mughlai,  Biryani"
1000,2.5,50,"Abu Sarovar Portico, Egmore","North Indian,  South Indian,  Chinese"
400,,Does not offer Dining,Nungambakkam,"Bakery,  Desserts"
300,,Does not offer Dining,Saligramam,Bakery
600,3.5,149,Vepery,"North Indian,  Chinese,  Fast Food,  South Indian,  Desserts"
550,3.6,159,Kilpauk,"Mughlai,  North Indian"
900,3.7,169,Tambaram,"North Indian,  Chinese,  Arabian,  South Indian,  Beverages"
400,3.8,176,Purasavakkam,"South Indian,  North Indian,  Chinese,  Beverages"
2000,4,125,"Feathers, A Radha Hotel","Asian,  Continental,  Lebanese,  North Indian"
700,2.4,212,Thuraipakkam,"Chinese,  North Indian"
700,3.7,138,Vadapalani,"Biryani,  Chinese,  North Indian,  Chettinad"
1700,3.6,164,"Lemon Tree Shimona, Ramapuram","Continental,  North Indian,  European,  American"
400,3.9,204,Kolathur,"South Indian,  North Indian,  Chinese,  Arabian"
350,3.8,112,Kandanchavadi,"Andhra,  Mughlai"
600,3.8,161,Nungambakkam,"South Indian,  North Indian,  Chinese,  Desserts,  Beverages"
3000,4.1,159,"ITC Grand Chola, Guindy",Finger Food
300,3.8,212,Selaiyur,"North Indian,  Chinese"
200,4.2,192,Nanganallur,South Indian
400,,Does not offer Dining,Medavakkam,"Chinese,  North Indian"
500,2.6,141,Besant Nagar,Cafe
300,3.9,204,Anna Nagar West,"South Indian,  North Indian"
250,3.7,140,Kodambakkam,"Beverages,  Desserts"
300,3.4,158,Perambur,"Fast Food,  North Indian,  Chinese"
300,,Does not offer Dining,Shenoy Nagar,Desserts
800,3.9,103,RA Puram,"Italian,  Mediterranean,  Continental"
300,4,214,Mogappair,"North Indian,  Arabian"
500,3.8,160,Avadi,"Chinese,  Fast Food"
450,,Does not offer Dining,Ekkaduthangal,"Chinese,  Biryani,  North Indian"
300,3,110,Kilpauk,"North Indian,  Chinese"
700,3.9,132,Mogappair,"North Indian,  Chinese,  Chettinad"
300,3.8,163,Ambattur,"Desserts,  Continental"
400,3.6,151,Velachery,"Beverages,  Desserts"
300,3.9,198,Saidapet,"Chinese,  Lebanese"
400,4,93,Anna Nagar East,"Mexican,  Italian,  Continental"
500,3.8,198,Tambaram,"Biryani,  North Indian,  South Indian"
200,3.9,128,GST Road,Andhra
600,4.1,116,Adyar,"North Indian,  Street Food,  Fast Food"
350,3.7,142,Karapakkam,Biryani
300,3.9,173,Sowcarpet,"South Indian,  North Indian,  Chinese,  Fast Food,  Street Food"
200,,Does not offer Dining,T. Nagar,"Tea,  Street Food,  Desserts,  Beverages"
450,4,168,Adyar,"North Indian,  Chinese"
250,4,161,Mylapore,"Biryani,  Andhra"
2000,3.4,183,"Aloft Chennai, Sholinganallur",Finger Food
500,3.3,181,George Town,"Pizza,  Fast Food"
450,3.1,145,Madipakkam,"North Indian,  Chinese,  Biryani"
550,3.7,143,Royapettah,"North Indian,  South Indian,  Chinese"
200,4,127,Anna Nagar East,"Beverages,  Fast Food"
900,3.9,72,Anna Nagar East,"North Indian,  Fast Food,  Chinese,  Chettinad"
300,4,93,Nungambakkam,"Cafe,  Fast Food"
400,3.6,208,Vepery,"North Indian,  Chinese,  Biryani,  Arabian"
200,3.6,153,Adyar,"North Indian,  Chinese,  Street Food"
600,3.5,186,Perambur,"Chettinad,  Chinese,  Biryani,  North Indian,  South Indian"
400,3.5,170,Perambur,"Arabian,  Chinese,  North Indian"
300,3.8,156,Perambur,"Biryani,  South Indian,  Chinese"
200,3.9,181,Vepery,"Street Food,  Fast Food"
500,4,122,Perungudi,"North Indian,  Biryani,  Chinese"
350,3.9,108,Egmore,"Desserts,  North Indian,  Fast Food,  Beverages"
600,2.6,148,Anna Nagar West,"North Indian,  Biryani,  Chinese,  Mughlai"
400,3.3,150,Sholinganallur,"North Indian,  South Indian"
300,4,152,Karapakkam,"Chettinad,  South Indian"
350,4,169,Adyar,"South Indian,  Chinese,  North Indian"
300,3.6,193,T. Nagar,"Biryani,  Chinese"
350,3.8,144,Egmore,"Ice Cream,  Desserts,  Fast Food,  Beverages"
200,4,133,Alwarpet,"Ice Cream,  Desserts"
500,2.4,176,Porur,"Chinese,  Chettinad,  North Indian"
350,,Does not offer Dining,Aminijikarai,Lebanese
1200,2.9,54,"Clarion Hotel, Mylapore","North Indian,  Mughlai,  Chettinad,  Desserts"
800,4,118,RA Puram,"Continental,  Mexican,  Cafe,  Italian,  Healthy Food"
300,3.8,168,Kilpauk,"Chinese,  North Indian,  Fast Food"
150,4,140,Porur,Bakery
400,3.5,102,Mahabalipuram,"South Indian,  Chinese,  North Indian"
600,3.9,143,Thiruvanmiyur,"Biryani,  Arabian,  North Indian,  Chinese"
2000,3.9,112,"Ramada Plaza, Guindy","Continental,  North Indian,  Finger Food,  Italian"
300,3.8,160,Kilpauk,"North Indian,  Chinese"
500,3.8,181,Kodambakkam,"North Indian,  Chinese,  Chettinad"
350,,Does not offer Dining,Choolaimedu,"Biryani,  Chinese"
650,3.9,193,Selaiyur,"Biryani,  Mughlai"
300,3.9,180,Madipakkam,"Hyderabadi,  Biryani,  North Indian,  Chinese"
200,4,138,T. Nagar,South Indian
250,3.5,134,Velachery,Beverages
500,3.1,151,Kelambakkam,"Arabian,  North Indian,  Chinese"
2200,3.8,168,"Vivanta Chennai, IT Expressway, Sholinganallur ","North Indian,  Italian,  Continental"
550,3.7,145,"OMR Food Street, Navallur",Kerala
250,3.7,137,Adyar,"Street Food,  South Indian,  Chettinad,  Ice Cream,  Beverages"
450,3.8,181,"Ambit IT Park, Ambattur","Tibetan,  Chinese"
200,4,148,Purasavakkam,South Indian
600,3.9,151,Taramani,Chinese
1200,3.8,117,"Feathers, A Radha Hotel","Pizza,  Continental"
400,3.6,121,Velachery,"Kerala,  South Indian"
1000,4,120,Mahabalipuram,"North Indian,  Chinese,  Continental"
2500,4,159,Anna Salai,"Continental,  South Indian,  Italian,  Seafood,  North Indian"
500,3.8,115,Mylapore,"North Indian,  South Indian,  Street Food,  Chinese"
350,3.3,157,Nungambakkam,Fast Food
3000,4.1,128,"The Leela Palace, MRC Nagar",Finger Food
100,4,153,Mylapore,South Indian
150,,Does not offer Dining,Teynampet,Rolls
300,3.8,176,Vepery,"Biryani,  North Indian"
700,3.1,172,Tambaram,"Chettinad,  Kerala,  Chinese"
500,3.6,137,Besant Nagar,South Indian
1100,4,69,Kodambakkam,"North Indian,  Chinese,  Beverages"
350,4,189,Karapakkam,"South Indian,  Biryani,  Kerala"
300,3.9,31,Mylapore,Bakery
200,4.1,135,Mylapore,"Desserts,  Ice Cream,  Juices"
300,4,138,Adyar,"South Indian,  Beverages"
200,3.7,173,Ramapuram,"South Indian,  North Indian"
600,3.6,87,Poonamalle,"South Indian,  North Indian,  Chinese"
500,3.4,171,Velachery,"North Indian,  Chinese"
800,3.7,72,Anna Nagar East,"Chinese,  North Indian,  South Indian"
1000,3.1,101,Gopalapuram,"Chettinad,  Kerala,  North Indian,  Seafood"
350,3.8,170,Thuraipakkam,"Andhra,  Chinese,  Biryani"
500,3.9,127,Poonamalle,"South Indian,  North Indian,  Chinese"
300,3.9,168,Velachery,South Indian
300,4,180,Alwarpet,"Rolls,  North Indian"
400,3.7,168,Thuraipakkam,"Seafood,  North Indian,  Chinese"
250,4,116,Alandur,Biryani
500,3.8,91,Saligramam,"Bakery,  Fast Food"
500,3.9,119,Tambaram,"North Indian,  Chinese,  Chettinad,  Mughlai"
500,3.2,82,Perungudi,Italian
350,3.6,107,Ashok Nagar,"Ice Cream,  Desserts,  Fast Food"
600,3.3,117,Saligramam,"North Indian,  Chinese,  Biryani"
600,3.8,135,Perambur,"North Indian,  Chinese,  Chettinad"
800,4,141,Mylapore,"Cafe,  Fast Food"
400,3.8,122,"Hotel Maris, Gopalapuram","South Indian,  North Indian,  Chinese"
2000,4.1,130,Chetpet,"North Indian,  South Indian"
300,,Does not offer Dining,West Mambalam,"North Indian,  Chinese,  Fast Food,  Street Food"
300,3.9,162,Kanchipuram District,"Roast Chicken,  Sandwich,  Burger,  Beverages"
450,3.7,140,Porur,"BBQ,  Chinese,  Kebab,  North Indian"
250,,Does not offer Dining,T. Nagar,Street Food
1000,3.8,89,Mylapore,"Mediterranean,  North Indian,  Arabian"
1500,4,137," InterContinental Chennai Mahabalipuram Resort, East...",Finger Food
200,,Does not offer Dining,Pallavaram,"Burger,  Fast Food"
300,4.1,162,Kilpauk,"Fast Food,  Street Food"
500,3.2,168,Royapuram,"Fast Food,  Chettinad,  Chinese,  Pizza,  Mughlai,  Biryani,  Desserts,  Beverages"
300,3.9,99,Ramapuram,South Indian
400,3.7,151,Washermenpet,"Arabian,  Biryani,  Chettinad,  Chinese"
250,3.4,166,Velachery,"Fast Food,  Beverages"
800,3.7,118,Porur,"Chinese,  Momos,  Desserts,  Beverages"
400,3.3,129,Anna Nagar East,"Fast Food,  Biryani,  Chinese"
500,4,119,Anna Nagar West,"Chettinad,  South Indian,  Chinese,  Beverages,  Arabian,  North Indian"
2200,4,166,"Dash@OMR, Old Mahabalipuram Road (OMR)","BBQ,  Chinese,  North Indian,  Kebab"
200,3.1,100,Nungambakkam,"Bakery,  Desserts"
200,,Does not offer Dining,Alwarpet,South Indian
350,3.6,108,Choolaimedu,"North Eastern,  Naga,  Chinese"
350,3.2,130,Thuraipakkam,"Bakery,  Desserts,  Fast Food"
400,3.8,119,Teynampet,"Chettinad,  Mughlai,  Chinese"
600,3.6,122,Ashok Nagar,"Biryani,  Chinese"
600,3.1,86,Mahabalipuram,"Seafood,  North Indian,  Italian,  Continental"
300,3.5,122,Mandaveli,South Indian
1200,4,114,"Ramada Plaza, Guindy","BBQ,  North Indian,  Continental"
200,3.6,108,Anna Nagar East,"Bakery,  Desserts"
550,2.9,166,"Mahindra World City, Chengalpattu","South Indian,  North Indian,  Chinese"
1000,3.1,77,"Ideal Beach Resort, East Coast Road (ECR)","Chinese,  South Indian,  Sri Lankan"
350,4,123,Navallur,"Beverages,  Desserts"
1200,2.6,35,"Chariot Beach Resort, East Coast Road (ECR)","South Indian,  North Indian,  Chinese"
200,3.9,155,Potheri,"Fast Food,  Beverages"
200,3.4,165,Thiruvanmiyur,North Indian
450,3.9,141,Ramapuram,Chettinad
450,3.8,98,Velachery,"Desserts,  Beverages"
250,4,158,Teynampet,"South Indian,  Beverages"
300,3.4,182,Velachery,South Indian
500,3.8,167,Anna Nagar East,"South Indian,  Chinese,  Beverages,  Ice Cream,  North Indian"
200,3.8,76,Alwarpet,Ice Cream
650,3.7,113,Vadapalani,"Kerala,  Biryani"
500,3.6,153,Anna Nagar East,"North Indian,  Chinese,  Arabian,  Tamil"
2000,2.9,88,"Clarion Hotel, Mylapore","North Indian,  South Indian,  Fast Food"
350,3.4,72,Anna Nagar West,"Chinese,  BBQ,  Rolls"
250,,Does not offer Dining,Alwarpet,"Beverages,  Fast Food"
350,,Does not offer Dining,Neelangarai,"Arabian,  Lebanese,  Chinese"
200,4,98,Kilpauk,Street Food
500,3.9,103,Old Mahabalipuram Road (OMR),"Arabian,  Chinese,  Thai,  Chettinad"
800,3.8,144,Maduravoyal,"North Indian,  Chinese"
700,3.8,122,Navallur,"North Indian,  Chinese,  Fast Food"
300,,Does not offer Dining,Thuraipakkam,"Momos,  Fast Food,  Chinese"
400,3.4,155,Velachery,North Indian
800,3.1,89,Kilpauk,"Biryani,  Arabian,  North Indian,  Chinese,  Desserts,  Beverages"
800,3.8,87,Nungambakkam,"Continental,  Tex-Mex,  Chinese,  Pizza,  Fast Food,  Desserts,  Beverages"
200,,Does not offer Dining,Kilpauk,"Chinese,  Momos"
1100,4,88,"Hotel Rajpark, Alwarpet","Healthy Food,  Desserts,  Beverages"
1800,4,113,"Vivanta Chennai, IT Expressway, Sholinganallur ",Chinese
300,4.1,199,Tambaram,"Biryani,  Fast Food"
400,2.9,137,Alwarpet,"North Indian,  South Indian,  Beverages"
300,,Does not offer Dining,Thiruvanmiyur,Fast Food
700,3.8,61,Santhome,Cafe
550,3.5,168,Kelambakkam,"North Indian,  Chinese,  Biryani,  BBQ"
450,3.4,139,Perungudi,"South Indian,  Kerala,  Chinese"
300,2.8,116,Perungudi,South Indian
250,4.1,142,Perungudi,Biryani
500,3.4,112,Washermenpet,"Burmese,  Chinese,  Seafood,  North Indian,  South Indian"
400,,Does not offer Dining,Tambaram,"North Indian,  Chinese"
700,3.1,157,Ashok Nagar,"Chettinad,  North Indian,  Chinese,  South Indian,  Biryani"
500,3.9,132,George Town,"North Indian,  Chinese,  Biryani,  Arabian"
300,3.7,103,Washermenpet,"South Indian,  Chinese,  North Indian,  Beverages,  Juices,  Ice Cream"
2300,3.8,129,Akkarai,"Continental,  Chinese,  Mexican"
500,3.6,96,Egmore,"Burger,  Sandwich,  Beverages"
400,3.8,140,Perungudi,"South Indian,  Kerala"
450,3.3,106,Saligramam,"South Indian,  North Indian,  Chinese,  Street Food,  Beverages,  Mithai"
250,4.2,157,Triplicane,Mithai
400,3.1,163,Madipakkam,"Biryani,  Chinese,  North Indian,  Chettinad"
500,3.5,126,Anna Nagar East,"North Indian,  South Indian,  Chinese"
200,,Does not offer Dining,Saligramam,Sandwich
